Type,BodyPart,Equipment,Level,Cardiovascular_Safe,Title,Desc
Cardio,Hamstrings,Other,Beginner,1,Empuje de trineo-,"El empuje de trineo es un ejercicio de acondicionamiento que se dirige al sistema cardiovascular y a los músculos de la parte inferior del cuerpo. Implica empujar un trineo a lo largo del césped u otra superficie plana, ya sea durante el tiempo o la distancia. Dependiendo de su tipo de equipo, puede estar empujando manijas o correas frente al trineo. Se puede utilizar como parte de un calentamiento dinámico o para entrenamiento de energía, como finalizador o como parte de un entrenamiento o circuito de acondicionamiento."
Cardio,Middle Back,Machine,Intermediate,1,Remero,"El remero es una máquina de gimnasia popular que es un trabajo cardiovascular serio, pero también se dirige a las piernas, la espalda y los músculos del brazo. Es una excelente manera de construir una aptitud aeróbica y muscular general. Es popular en entrenamientos de estilo CrossFit, pero también es un elemento básico en todo tipo de gimnasios. Puede ser igualmente efectivo para entrenamientos de intervalos de estilo HIIT o para trabajos de resistencia de mayor duración."
Cardio,Quadriceps,Other,Intermediate,1,Empuje de placa,"El empuje de la placa es un ejercicio de acondicionamiento que se dirige al sistema cardiovascular y a los músculos de la parte inferior del cuerpo. Implica empujar una placa a lo largo del césped u otra superficie plana, ya sea durante el tiempo o la distancia. Se puede utilizar como parte de un calentamiento dinámico o para entrenamiento de energía, como finalizador o como parte de un entrenamiento o circuito de acondicionamiento."
Cardio,Quadriceps,Machine,Intermediate,1,Escalador,"El escalador es una popular máquina cardiovascular que se encuentra en la mayoría de los gimnasios comerciales. Junto con la quema de una tonelada de calorías, el escalador también ayuda a generar fuerza en la parte inferior del cuerpo, especialmente los glúteos. Puede funcionar bien a velocidades más altas para el entrenamiento de acondicionamiento al estilo de intervalos, pero también funciona bien a pasos más lentos para el cardio de estado estacionario."
Cardio,Quadriceps,Machine,Intermediate,1,Entrenador elíptico,"El Entrenador Elíptico es una máquina popular para el entrenamiento cardiovascular sin el impacto significativo en sus articulaciones de funcionamiento. En muchas máquinas, puede ajustar el nivel de resistencia para que el movimiento sea más difícil para las cuatro extremidades. La elíptica es un pilar en la mayoría de los gimnasios comerciales, y puede ser igualmente efectivo para entrenamientos de intervalos de estilo HIIT o para trabajos de resistencia de mayor duración."
Cardio,Quadriceps,Machine,Intermediate,1,Escalera,"El escalador es una popular máquina cardiovascular que se encuentra en la mayoría de los gimnasios comerciales. Junto con la quema de una tonelada de calorías, el escalador también ayuda a generar fuerza en la parte inferior del cuerpo, especialmente los glúteos. Puede funcionar bien a velocidades más altas para el entrenamiento de acondicionamiento al estilo de intervalos, pero también funciona bien a pasos más lentos para el cardio de estado estacionario."
Cardio,Quadriceps,Machine,Intermediate,1,Correr en la cinta de correr,"La cinta de correr es un ejercicio cardiovascular popular realizado en una máquina que está disponible en la mayoría de los gimnasios. Realizar este ejercicio en una cinta de correr le permite ajustar la velocidad de su carrera y, dependiendo de la máquina, realizarlo en una inclinación ajustable. Muchas máquinas también tienen monitores y temporizadores de frecuencia cardíaca incorporados para ayudarlo a rastrear su progreso."
Cardio,Quadriceps,Machine,Intermediate,1,Bicicleta estacionaria,"The stationary bike is a popular cardio machine found in most commercial gyms. Along with burning a ton of calories, the stationary bike also helps develop the lower body. Las bicicletas estacionarias vienen en múltiples variaciones, que van desde las que se asemejan a andar en bicicleta, hasta bicicletas reclinadas, hasta bicicletas de ventilador que trabajan tanto en los brazos como las piernas. No importa la variación, una bicicleta estacionaria puede funcionar bien a velocidades más altas para el entrenamiento de acondicionamiento al estilo de intervalos, pero también funciona bien a ritmo más lento para cardio en estado estacionario."
Cardio,Quadriceps,Machine,Intermediate,1,Corriendo en cinta de correr,"La cinta de correr es un ejercicio cardiovascular popular realizado en una máquina que está disponible en la mayoría de los gimnasios. Realizar este ejercicio en una cinta de correr le permite ajustar la velocidad de su trote y, dependiendo de la máquina, realizarlo en una inclinación ajustable. Muchas máquinas también tienen monitores y temporizadores de frecuencia cardíaca incorporados para ayudarlo a rastrear su progreso."
Cardio,Quadriceps,Body Only,Intermediate,0,Cuerda de salto,Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.
